t,ep_rew_mean,ep_len_mean,rew_per_step,approx_kl,explained_variance,value_loss,entropy_loss,clip_fraction,policy_gradient_loss,rail_hit_pct,timelimit_pct,success_pct
900288.0,-42.818892020000014,980.71,-0.0436611149269407,0.02125580608844757,0.22011643648147583,0.0384666190308053,-1.031843730265973,0.23701934814453124,-0.024634395249063346,0.0,100.0,0.0
950304.0,-39.65438012,1000.0,-0.03965438012,0.02295587584376335,0.30977189540863037,0.00909779150013037,-0.9541074007313,0.2484283447265625,-0.028428241827060673,0.0,100.0,0.0
1000320.0,-31.98689343,1000.0,-0.031986893429999996,0.02295587584376335,0.30977189540863037,0.00909779150013037,-0.9541074007313,0.2484283447265625,-0.028428241827060673,0.0,100.0,0.0
1050336.0,-27.066319259999997,1000.0,-0.027066319259999996,0.022098083049058914,0.3267143964767456,0.0038306405375237774,-0.8688422658713535,0.21312942504882812,-0.02508080979870897,0.0,100.0,0.0
1100352.0,-23.434617929999998,1000.0,-0.02343461793,0.022098083049058914,0.3267143964767456,0.0038306405375237774,-0.8688422658713535,0.21312942504882812,-0.02508080979870897,0.0,100.0,0.0
1150368.0,-19.13097156,1000.0,-0.019130971559999998,0.022098083049058914,0.3267143964767456,0.0038306405375237774,-0.8688422658713535,0.21312942504882812,-0.02508080979870897,0.0,100.0,0.0
1200384.0,-17.85942435,1000.0,-0.01785942435,0.019183045253157616,0.3576838970184326,0.0016739373757175713,-0.7716128682834096,0.15691604614257812,-0.017543718150426456,0.0,100.0,0.0
1250400.0,-16.707143520000002,1000.0,-0.016707143520000002,0.019183045253157616,0.3576838970184326,0.0016739373757175713,-0.7716128682834096,0.15691604614257812,-0.017543718150426456,0.0,100.0,0.0
1300416.0,-15.550079409999999,1000.0,-0.015550079409999999,0.019183045253157616,0.3576838970184326,0.0016739373757175713,-0.7716128682834096,0.15691604614257812,-0.017543718150426456,0.0,100.0,0.0
1350432.0,-14.91839024,1000.0,-0.014918390240000001,0.019417008385062218,0.43330085277557373,0.001055096302738434,-0.6905607186839916,0.16458587646484374,-0.01599897345367367,0.0,100.0,0.0
1400448.0,-13.476521609999997,1000.0,-0.013476521609999997,0.019417008385062218,0.43330085277557373,0.001055096302738434,-0.6905607186839916,0.16458587646484374,-0.01599897345367367,0.0,100.0,0.0
1450464.0,-12.995177270000001,1000.0,-0.012995177270000002,0.017241712659597397,0.38981765508651733,0.0007762854596471414,-0.6152971964678727,0.16675186157226562,-0.015454020399329239,0.0,100.0,0.0
1500480.0,-12.49471908,1000.0,-0.01249471908,0.017241712659597397,0.38981765508651733,0.0007762854596471414,-0.6152971964678727,0.16675186157226562,-0.015454020399329239,0.0,100.0,0.0
1550496.0,-11.7418388,1000.0,-0.0117418388,0.017241712659597397,0.38981765508651733,0.0007762854596471414,-0.6152971964678727,0.16675186157226562,-0.015454020399329239,0.0,100.0,0.0
1600512.0,-11.511366509999998,1000.0,-0.01151136651,0.017015673220157623,0.4750363826751709,0.0006058138856381845,-0.5474783921265043,0.1722259521484375,-0.016044295765914283,0.0,100.0,0.0
1650528.0,-10.79794204,1000.0,-0.010797942040000001,0.017015673220157623,0.4750363826751709,0.0006058138856381845,-0.5474783921265043,0.1722259521484375,-0.016044295765914283,0.0,100.0,0.0
1700544.0,-10.34402877,1000.0,-0.01034402877,0.017015673220157623,0.4750363826751709,0.0006058138856381845,-0.5474783921265043,0.1722259521484375,-0.016044295765914283,0.0,100.0,0.0
1750560.0,-10.03534025,1000.0,-0.01003534025,0.01647292822599411,0.5719795227050781,0.00045051349429527934,-0.47915743988269244,0.16797103881835937,-0.015162974443239819,0.0,100.0,0.0
1800576.0,-9.41637498,1000.0,-0.009416374980000001,0.01647292822599411,0.5719795227050781,0.00045051349429527934,-0.47915743988269244,0.16797103881835937,-0.015162974443239819,0.0,100.0,0.0
1850592.0,-9.18603328,1000.0,-0.00918603328,0.016165394335985184,0.5994337797164917,0.0003434841986273085,-0.4119152837025467,0.16284637451171874,-0.014296052434951889,0.0,100.0,0.0
1900608.0,-8.647024369999999,1000.0,-0.008647024369999999,0.016165394335985184,0.5994337797164917,0.0003434841986273085,-0.4119152837025467,0.16284637451171874,-0.014296052434951889,0.0,100.0,0.0
